      L1  L2  L3  X1  X2  X3  X4  X5  X6  X7  X8  X9  X10  X11  X12
   1   0  -1   0   1   1   0   0   0   0  -1  -1   0    0    0    0
   2   1   0  -1   0   0   1   1   0   0   0   0  -1   -1    0    0
   3   0   1   0   0   0   0   0   1   1   0   0   0    0   -1   -1
   4  -1   0   0   0   0   0   0   0   0   0   0   0    0    0    0
   5  -1   0   0   0   0   0   0   0   0   0   0   0    0    0    0
   6   0  -1   0   0   0   0   0   0   0   0   0   0    0    0    0
   7   0  -1   0   0   0   0   0   0   0   0   0   0    0    0    0
   8   0   0  -1   0   0   0   0   0   0   0   0   0    0    0    0
   9   0   0  -1   0   0   0   0   0   0   0   0   0    0    0    0
  10   1   0   0   0   0   0   0   0   0   0   0   0    0    0    0
  11   1   0   0   0   0   0   0   0   0   0   0   0    0    0    0
  12   0   1   0   0   0   0   0   0   0   0   0   0    0    0    0
  13   0   1   0   0   0   0   0   0   0   0   0   0    0    0    0
  14   0   0   1   0   0   0   0   0   0   0   0   0    0    0    0
  15   0   0   1   0   0   0   0   0   0   0   0   0    0    0    0

